County,Vcode,Vtype,ccode,vname,vioid,ctype,pwsid,viomeasure,cname,comp_begin_date,comp_end_date
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),326670,SWTR,PA6120001,None,SWTR,2003-03-01,2003-03-31
42023,27,MR,999,Monitoring and Reporting (DBP),430886,St1_DBP,PA6120001,None,Chlorine,2004-01-01,2004-03-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),430888,SWTR,PA6120001,None,SWTR,2004-01-01,2004-01-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),430889,SWTR,PA6120001,None,SWTR,2004-02-01,2004-02-29
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),430890,SWTR,PA6120001,None,SWTR,2004-03-01,2004-03-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),433466,SWTR,PA6120001,None,SWTR,2004-05-01,2004-05-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),433467,SWTR,PA6120001,None,SWTR,2004-04-01,2004-04-30
42023,27,MR,999,Monitoring and Reporting (DBP),437069,St1_DBP,PA6120001,None,Chlorine,2004-04-01,2004-06-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),437071,SWTR,PA6120001,None,SWTR,2004-06-01,2004-06-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),439295,SWTR,PA6120001,None,SWTR,2004-07-01,2004-07-31
42023,27,MR,999,Monitoring and Reporting (DBP),441058,St1_DBP,PA6120001,None,Chlorine,2004-07-01,2004-09-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),441060,SWTR,PA6120001,None,SWTR,2004-08-01,2004-08-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),444642,SWTR,PA6120001,None,SWTR,2004-09-01,2004-09-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),500809,SWTR,PA6120001,None,SWTR,2004-10-01,2004-10-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),505564,SWTR,PA6120001,None,SWTR,2004-11-01,2004-11-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),514677,SWTR,PA6120001,None,SWTR,2004-12-01,2004-12-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),522396,SWTR,PA6120001,None,SWTR,2005-01-01,2005-01-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),523563,SWTR,PA6120001,None,SWTR,2005-02-01,2005-02-28
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),525949,SWTR,PA6120001,None,SWTR,2005-03-01,2005-03-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),527746,SWTR,PA6120001,None,SWTR,2005-04-01,2005-04-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),528869,SWTR,PA6120001,None,SWTR,2005-05-01,2005-05-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),531677,SWTR,PA6120001,None,SWTR,2005-06-01,2005-06-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),534120,SWTR,PA6120001,None,SWTR,2005-07-01,2005-07-31
42023,71,Other,7000,CCR Complete Failure to Report,535727,CCR,PA6120001,None,Consumer Confidence Rule,2005-07-01,2007-11-21
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),535728,SWTR,PA6120001,None,SWTR,2005-08-01,2005-08-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),539695,SWTR,PA6120001,None,SWTR,2005-09-01,2005-09-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),600837,SWTR,PA6120001,None,SWTR,2005-10-01,2005-10-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),601833,SWTR,PA6120001,None,SWTR,2005-11-01,2005-11-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),610103,SWTR,PA6120001,None,SWTR,2005-12-01,2005-12-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),614746,SWTR,PA6120001,None,SWTR,2006-01-01,2006-01-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),615905,SWTR,PA6120001,None,SWTR,2006-02-01,2006-02-28
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),617998,SWTR,PA6120001,None,SWTR,2006-03-01,2006-03-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),620238,SWTR,PA6120001,None,SWTR,2006-04-01,2006-04-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),621318,SWTR,PA6120001,None,SWTR,2006-05-01,2006-05-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),623818,SWTR,PA6120001,None,SWTR,2006-06-01,2006-06-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),626258,SWTR,PA6120001,None,SWTR,2006-07-01,2006-07-31
42023,71,Other,7000,CCR Complete Failure to Report,627034,CCR,PA6120001,None,Consumer Confidence Rule,2006-07-01,2007-11-21
42023,26,MR,3100,"Monitoring, Repeat Minor (TCR)",628070,TCR,PA6120001,None,Coliform (TCR),2006-08-01,2006-08-31
42023,75,Other,7500,PN Violation for NPDWR Violation,628071,PN_rule,PA6120001,None,Public Notice,2006-08-11,2006-09-28
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),628072,SWTR,PA6120001,None,SWTR,2006-08-01,2006-08-31
42023,75,Other,7500,PN Violation for NPDWR Violation,630623,PN_rule,PA6120001,None,Public Notice,2006-09-11,2006-11-14
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),630624,SWTR,PA6120001,None,SWTR,2006-09-01,2006-09-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),700882,SWTR,PA6120001,None,SWTR,2006-10-01,2006-10-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),702107,SWTR,PA6120001,None,SWTR,2006-11-01,2006-11-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),707004,SWTR,PA6120001,None,SWTR,2006-12-01,2006-12-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),713553,SWTR,PA6120001,None,SWTR,2007-01-01,2007-01-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),715044,SWTR,PA6120001,None,SWTR,2007-02-01,2007-02-28
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),716898,SWTR,PA6120001,None,SWTR,2007-03-01,2007-03-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),719379,SWTR,PA6120001,None,SWTR,2007-04-01,2007-04-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),720513,SWTR,PA6120001,None,SWTR,2007-05-01,2007-05-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),723474,SWTR,PA6120001,None,SWTR,2007-06-01,2007-06-30
42023,71,Other,7000,CCR Complete Failure to Report,725339,CCR,PA6120001,None,Consumer Confidence Rule,2007-07-01,2007-11-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),725341,SWTR,PA6120001,None,SWTR,2007-07-01,2007-07-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),726550,SWTR,PA6120001,None,SWTR,2007-08-01,2007-08-31
42023,27,MR,2456,Monitoring and Reporting (DBP),729779,St1_DBP,PA6120001,None,Total Haloacetic Acids (HAA5),2007-07-01,2007-09-30
42023,27,MR,2950,Monitoring and Reporting (DBP),729780,St1_DBP,PA6120001,None,TTHM,2007-07-01,2007-09-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),729783,SWTR,PA6120001,None,SWTR,2007-09-01,2007-09-30
42023,75,Other,7500,PN Violation for NPDWR Violation,800880,PN_rule,PA6120001,None,Public Notice,2007-10-11,2009-07-24
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),800881,SWTR,PA6120001,None,SWTR,2007-10-01,2007-10-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),801780,SWTR,PA6120001,None,SWTR,2007-11-01,2007-11-30
42023,75,Other,7500,PN Violation for NPDWR Violation,807239,PN_rule,PA6120001,None,Public Notice,2007-12-11,2009-07-24
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),807240,SWTR,PA6120001,None,SWTR,2007-12-01,2007-12-31
42023,75,Other,7500,PN Violation for NPDWR Violation,811076,PN_rule,PA6120001,None,Public Notice,2008-01-11,2009-07-24
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),811077,SWTR,PA6120001,None,SWTR,2008-01-01,2008-01-31
42023,75,Other,7500,PN Violation for NPDWR Violation,812205,PN_rule,PA6120001,None,Public Notice,2008-02-11,2009-07-24
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),812206,SWTR,PA6120001,None,SWTR,2008-02-01,2008-02-29
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),813587,SWTR,PA6120001,None,SWTR,2008-03-01,2008-03-31
42023,75,Other,7500,PN Violation for NPDWR Violation,814533,PN_rule,PA6120001,None,Public Notice,2008-03-11,2009-07-24
42023,75,Other,7500,PN Violation for NPDWR Violation,815738,PN_rule,PA6120001,None,Public Notice,2008-04-11,2009-07-24
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),815739,SWTR,PA6120001,None,SWTR,2008-04-01,2008-04-30
42023,75,Other,7500,PN Violation for NPDWR Violation,816565,PN_rule,PA6120001,None,Public Notice,2008-05-11,2009-07-24
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),816566,SWTR,PA6120001,None,SWTR,2008-05-01,2008-05-31
42023,75,Other,7500,PN Violation for NPDWR Violation,818602,PN_rule,PA6120001,None,Public Notice,2008-06-11,2009-07-24
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),818603,SWTR,PA6120001,None,SWTR,2008-06-01,2008-06-30
42023,71,Other,7000,CCR Complete Failure to Report,820763,CCR,PA6120001,None,Consumer Confidence Rule,2008-07-01,2009-11-20
42023,75,Other,7500,PN Violation for NPDWR Violation,820764,PN_rule,PA6120001,None,Public Notice,2008-07-11,2008-10-03
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),820765,SWTR,PA6120001,None,SWTR,2008-07-01,2008-07-31
42023,75,Other,7500,PN Violation for NPDWR Violation,821884,PN_rule,PA6120001,None,Public Notice,2008-08-11,2009-07-24
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),821885,SWTR,PA6120001,None,SWTR,2008-08-01,2008-08-31
42023,75,Other,7500,PN Violation for NPDWR Violation,823976,PN_rule,PA6120001,None,Public Notice,2008-09-11,2009-07-24
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),823977,SWTR,PA6120001,None,SWTR,2008-09-01,2008-09-30
42023,75,Other,7500,PN Violation for NPDWR Violation,900865,PN_rule,PA6120001,None,Public Notice,2008-10-11,2009-10-02
42023,75,Other,7500,PN Violation for NPDWR Violation,900866,PN_rule,PA6120001,None,Public Notice,2008-10-11,2009-10-02
42023,75,Other,7500,PN Violation for NPDWR Violation,900867,PN_rule,PA6120001,None,Public Notice,2008-10-11,2009-10-02
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),900868,SWTR,PA6120001,None,SWTR,2008-10-01,2008-10-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),901933,SWTR,PA6120001,None,SWTR,2008-11-01,2008-11-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),907790,SWTR,PA6120001,None,SWTR,2008-12-01,2008-12-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),911506,SWTR,PA6120001,None,SWTR,2009-01-01,2009-01-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),912501,SWTR,PA6120001,None,SWTR,2009-02-01,2009-02-28
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),914256,SWTR,PA6120001,None,SWTR,2009-03-01,2009-03-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),915579,SWTR,PA6120001,None,SWTR,2009-04-01,2009-04-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),916164,SWTR,PA6120001,None,SWTR,2009-05-01,2009-05-31
42023,3,MR,2378,"Monitoring, Regular",917899,VOC,PA6120001,None,"1,2,4-Trichlorobenzene",2009-04-01,2009-06-30
42023,3,MR,2380,"Monitoring, Regular",917900,VOC,PA6120001,None,"cis-1,2-Dichloroethylene",2009-04-01,2009-06-30
42023,3,MR,2955,"Monitoring, Regular",917901,VOC,PA6120001,None,"Xylenes, Total",2009-04-01,2009-06-30
42023,3,MR,2964,"Monitoring, Regular",917902,VOC,PA6120001,None,DICHLOROMETHANE,2009-04-01,2009-06-30
42023,3,MR,2968,"Monitoring, Regular",917903,VOC,PA6120001,None,o-Dichlorobenzene,2009-04-01,2009-06-30
42023,3,MR,2969,"Monitoring, Regular",917904,VOC,PA6120001,None,p-Dichlorobenzene,2009-04-01,2009-06-30
42023,3,MR,2977,"Monitoring, Regular",917905,VOC,PA6120001,None,"1,1-Dichloroethylene",2009-04-01,2009-06-30
42023,3,MR,2979,"Monitoring, Regular",917906,VOC,PA6120001,None,"trans-1,2-Dichloroethylene",2009-04-01,2009-06-30
42023,3,MR,2980,"Monitoring, Regular",917907,VOC,PA6120001,None,"1,2-Dichloroethane",2009-04-01,2009-06-30
42023,3,MR,2981,"Monitoring, Regular",917908,VOC,PA6120001,None,"1,1,1-Trichloroethane",2009-04-01,2009-06-30
42023,3,MR,2982,"Monitoring, Regular",917909,VOC,PA6120001,None,Carbon tetrachloride,2009-04-01,2009-06-30
42023,3,MR,2983,"Monitoring, Regular",917910,VOC,PA6120001,None,"1,2-Dichloropropane",2009-04-01,2009-06-30
42023,3,MR,2984,"Monitoring, Regular",917911,VOC,PA6120001,None,Trichloroethylene,2009-04-01,2009-06-30
42023,3,MR,2985,"Monitoring, Regular",917912,VOC,PA6120001,None,"1,1,2-Trichloroethane",2009-04-01,2009-06-30
42023,3,MR,2987,"Monitoring, Regular",917913,VOC,PA6120001,None,Tetrachloroethylene,2009-04-01,2009-06-30
42023,3,MR,2989,"Monitoring, Regular",917914,VOC,PA6120001,None,CHLOROBENZENE,2009-04-01,2009-06-30
42023,3,MR,2990,"Monitoring, Regular",917915,VOC,PA6120001,None,Benzene,2009-04-01,2009-06-30
42023,3,MR,2991,"Monitoring, Regular",917916,VOC,PA6120001,None,Toluene,2009-04-01,2009-06-30
42023,3,MR,2992,"Monitoring, Regular",917917,VOC,PA6120001,None,Ethylbenzene,2009-04-01,2009-06-30
42023,3,MR,2996,"Monitoring, Regular",917918,VOC,PA6120001,None,Styrene,2009-04-01,2009-06-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),917919,SWTR,PA6120001,None,SWTR,2009-06-01,2009-06-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),919465,SWTR,PA6120001,None,SWTR,2009-07-01,2009-07-31
42023,71,Other,7000,CCR Complete Failure to Report,919952,CCR,PA6120001,None,Consumer Confidence Rule,2009-07-01,2009-12-16
42023,75,Other,7500,PN Violation for NPDWR Violation,920594,PN_rule,PA6120001,None,Public Notice,2009-08-11,2010-01-13
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),920595,SWTR,PA6120001,None,SWTR,2009-08-01,2009-08-31
42023,3,MR,2378,"Monitoring, Regular",922814,VOC,PA6120001,None,"1,2,4-Trichlorobenzene",2009-07-01,2009-09-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),922815,SWTR,PA6120001,None,SWTR,2009-09-01,2009-09-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1000765,SWTR,PA6120001,None,SWTR,2009-10-01,2009-10-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1001555,SWTR,PA6120001,None,SWTR,2009-11-01,2009-11-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1007962,SWTR,PA6120001,None,SWTR,2009-12-01,2009-12-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1011361,SWTR,PA6120001,None,SWTR,2010-01-01,2010-01-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1012382,SWTR,PA6120001,None,SWTR,2010-02-01,2010-02-28
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1013842,SWTR,PA6120001,None,SWTR,2010-03-01,2010-03-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1014957,SWTR,PA6120001,None,SWTR,2010-04-01,2010-04-30
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1015493,SWTR,PA6120001,None,SWTR,2010-05-01,2010-05-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1017407,SWTR,PA6120001,None,SWTR,2010-06-01,2010-06-30
42023,71,Other,7000,CCR Complete Failure to Report,1019246,CCR,PA6120001,None,Consumer Confidence Rule,2010-07-01,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019247,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019248,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019249,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019250,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019251,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019252,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019253,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019254,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019255,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019256,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019257,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019258,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019259,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019260,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019261,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019262,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019263,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019264,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019265,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019266,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1019267,PN_rule,PA6120001,None,Public Notice,2010-07-11,2011-01-10
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1019268,SWTR,PA6120001,None,SWTR,2010-07-01,2010-07-31
42023,75,Other,7500,PN Violation for NPDWR Violation,1020129,PN_rule,PA6120001,None,Public Notice,2010-08-11,2011-01-10
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1020130,SWTR,PA6120001,None,SWTR,2010-08-01,2010-08-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1023488,SWTR,PA6120001,None,SWTR,2010-09-01,2010-09-30
42023,75,Other,7500,PN Violation for NPDWR Violation,1100839,PN_rule,PA6120001,None,Public Notice,2010-10-11,2010-12-10
42023,75,Other,7500,PN Violation for NPDWR Violation,1100840,PN_rule,PA6120001,None,Public Notice,2010-10-11,2010-12-10
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1100841,SWTR,PA6120001,None,SWTR,2010-10-01,2010-10-31
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1101888,SWTR,PA6120001,None,SWTR,2010-11-01,2010-11-30
42023,75,Other,7500,PN Violation for NPDWR Violation,1107983,PN_rule,PA6120001,None,Public Notice,2010-12-11,2011-01-28
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1107984,SWTR,PA6120001,None,SWTR,2010-12-01,2010-12-31
42023,75,Other,7500,PN Violation for NPDWR Violation,1111589,PN_rule,PA6120001,None,Public Notice,2011-01-11,2011-05-18
42023,75,Other,7500,PN Violation for NPDWR Violation,1112474,PN_rule,PA6120001,None,Public Notice,2011-02-11,2011-05-18
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1112475,SWTR,PA6120001,None,SWTR,2011-02-01,2011-02-28
42023,75,Other,7500,PN Violation for NPDWR Violation,1118546,PN_rule,PA6120001,None,Public Notice,2011-03-11,2011-05-18
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1118547,SWTR,PA6120001,None,SWTR,2011-03-01,2011-03-31
42023,75,Other,7500,PN Violation for NPDWR Violation,1121712,PN_rule,PA6120001,None,Public Notice,2011-04-11,2012-02-02
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1121713,SWTR,PA6120001,None,SWTR,2011-04-01,2011-04-30
42023,75,Other,7500,PN Violation for NPDWR Violation,1122652,PN_rule,PA6120001,None,Public Notice,2011-05-11,2012-02-02
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1122653,SWTR,PA6120001,None,SWTR,2011-05-01,2011-05-31
42023,75,Other,7500,PN Violation for NPDWR Violation,1129899,PN_rule,PA6120001,None,Public Notice,2011-06-11,2012-02-02
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1129900,SWTR,PA6120001,None,SWTR,2011-06-01,2011-06-30
42023,71,Other,7000,CCR Complete Failure to Report,1134146,CCR,PA6120001,None,Consumer Confidence Rule,2011-07-01,2012-02-02
42023,75,Other,7500,PN Violation for NPDWR Violation,1134147,PN_rule,PA6120001,None,Public Notice,2011-07-11,2012-02-02
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1134148,SWTR,PA6120001,None,SWTR,2011-07-01,2011-07-31
42023,75,Other,7500,PN Violation for NPDWR Violation,1135560,PN_rule,PA6120001,None,Public Notice,2011-08-11,2012-02-02
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1135561,SWTR,PA6120001,None,SWTR,2011-08-01,2011-08-31
42023,75,Other,7500,PN Violation for NPDWR Violation,1141737,PN_rule,PA6120001,None,Public Notice,2011-09-11,2012-02-02
42023,36,MR,200,Monitoring of Treatment (SWTR-Filter),1141738,SWTR,PA6120001,None,SWTR,2011-09-01,2011-09-30
42041,51,MR,5000,Initial Tap Sampling for Pb and Cu,707870,LCR,PA7210001,None,Lead  amp; Copper Rule,2007-01-01,2007-03-05
42041,27,MR,2456,Monitoring and Reporting (DBP),718652,St1_DBP,PA7210001,None,Total Haloacetic Acids (HAA5),2006-07-01,2006-09-30
42041,27,MR,2950,Monitoring and Reporting (DBP),718653,St1_DBP,PA7210001,None,TTHM,2006-07-01,2006-09-30
42041,27,MR,999,Monitoring and Reporting (DBP),726698,St1_DBP,PA7210001,None,Chlorine,2007-07-01,2007-09-30
42041,23,MR,3100,"Monitoring, Routine Major (TCR)",730377,TCR,PA7210001,None,Coliform (TCR),2007-09-01,2007-09-30
42041,27,MR,999,Monitoring and Reporting (DBP),801904,St1_DBP,PA7210001,None,Chlorine,2007-10-01,2007-12-31
42041,51,MR,5000,Initial Tap Sampling for Pb and Cu,808315,LCR,PA7210001,None,Lead  amp; Copper Rule,2008-01-01,2008-02-06
42041,71,Other,7000,CCR Complete Failure to Report,821012,CCR,PA7210001,None,Consumer Confidence Rule,2008-07-01,2008-09-22
42041,27,MR,999,Monitoring and Reporting (DBP),822018,St1_DBP,PA7210001,None,Chlorine,2008-07-01,2008-09-30
42041,27,MR,999,Monitoring and Reporting (DBP),908952,St1_DBP,PA7210001,None,Chlorine,2008-10-01,2008-12-31
42041,27,MR,999,Monitoring and Reporting (DBP),911856,St1_DBP,PA7210001,None,Chlorine,2009-01-01,2009-03-31
42041,27,MR,999,Monitoring and Reporting (DBP),918224,St1_DBP,PA7210001,None,Chlorine,2009-04-01,2009-06-30
42041,27,MR,999,Monitoring and Reporting (DBP),919619,St1_DBP,PA7210001,None,Chlorine,2009-07-01,2009-09-30
42041,27,MR,999,Monitoring and Reporting (DBP),1101963,St1_DBP,PA7210001,None,Chlorine,2010-10-01,2010-12-31
42041,27,MR,999,Monitoring and Reporting (DBP),1111799,St1_DBP,PA7210001,None,Chlorine,2011-01-01,2011-03-31
42041,27,MR,999,Monitoring and Reporting (DBP),1134352,St1_DBP,PA7210001,None,Chlorine,2011-07-01,2011-09-30
42041,71,Other,7000,CCR Complete Failure to Report,1134353,CCR,PA7210001,None,Consumer Confidence Rule,2011-07-01,2011-08-29
42041,27,MR,999,Monitoring and Reporting (DBP),1316097,St1_DBP,PA7210001,None,Chlorine,2013-01-01,2013-03-31
42047,71,Other,7000,CCR Complete Failure to Report,02V0001,CCR,PA6240001,0,Consumer Confidence Rule,2002-07-01,2002-08-02
42047,71,Other,7000,CCR Complete Failure to Report,332717,CCR,PA6240001,None,Consumer Confidence Rule,2003-07-01,2003-10-24
42053,71,Other,7000,CCR Complete Failure to Report,333217,CCR,PA6270001,None,Consumer Confidence Rule,2003-07-01,2004-01-14
